n    | #  | tiky     | ms
0500 | 01 | 000000.0 | 0.00
0500 | 02 | 000000.0 | 0.00
0500 | 03 | 000000.0 | 0.00
0500 | 04 | 000000.0 | 0.00
0500 | 05 | 000000.0 | 0.00
0500 | 06 | 000000.0 | 0.00
0500 | 07 | 000000.0 | 0.00
0500 | 08 | 000000.0 | 0.00
0500 | 09 | 000000.0 | 0.00
0500 | 10 | 010000.0 | 0.10
1000 | 01 | 000000.0 | 0.00
1000 | 02 | 000000.0 | 0.00
1000 | 03 | 010000.0 | 0.10
1000 | 04 | 020000.0 | 0.20
1000 | 05 | 000000.0 | 0.00
1000 | 06 | 010000.0 | 0.10
1000 | 07 | 010000.0 | 0.10
1000 | 08 | 010000.0 | 0.10
1000 | 09 | 000000.0 | 0.00
1000 | 10 | 010000.0 | 0.10
1500 | 01 | 020000.0 | 0.20
1500 | 02 | 020000.0 | 0.20
1500 | 03 | 020000.0 | 0.20
1500 | 04 | 020000.0 | 0.20
1500 | 05 | 020000.0 | 0.20
1500 | 06 | 020000.0 | 0.20
1500 | 07 | 020000.0 | 0.20
1500 | 08 | 020000.0 | 0.20
1500 | 09 | 030000.0 | 0.30
1500 | 10 | 010000.0 | 0.10
2000 | 01 | 030000.0 | 0.30
2000 | 02 | 040000.0 | 0.40
2000 | 03 | 030000.0 | 0.30
2000 | 04 | 030000.0 | 0.30
2000 | 05 | 040000.0 | 0.40
2000 | 06 | 030000.0 | 0.30
2000 | 07 | 030000.0 | 0.30
2000 | 08 | 040000.0 | 0.40
2000 | 09 | 030000.0 | 0.30
2000 | 10 | 030000.0 | 0.30
2500 | 01 | 050000.0 | 0.50
2500 | 02 | 050000.0 | 0.50
2500 | 03 | 070000.0 | 0.70
2500 | 04 | 050000.0 | 0.50
2500 | 05 | 050000.0 | 0.50
2500 | 06 | 060000.0 | 0.60
2500 | 07 | 040000.0 | 0.40
2500 | 08 | 050000.0 | 0.50
2500 | 09 | 060000.0 | 0.60
2500 | 10 | 050000.0 | 0.50
3000 | 01 | 080000.0 | 0.80
3000 | 02 | 080000.0 | 0.80
3000 | 03 | 080000.0 | 0.80
3000 | 04 | 080000.0 | 0.80
3000 | 05 | 070000.0 | 0.70
3000 | 06 | 070000.0 | 0.70
3000 | 07 | 080000.0 | 0.80
3000 | 08 | 080000.0 | 0.80
3000 | 09 | 080000.0 | 0.80
3000 | 10 | 080000.0 | 0.80
3500 | 01 | 100000.0 | 1.00
3500 | 02 | 110000.0 | 1.10
3500 | 03 | 100000.0 | 1.00
3500 | 04 | 110000.0 | 1.10
3500 | 05 | 100000.0 | 1.00
3500 | 06 | 110000.0 | 1.10
3500 | 07 | 100000.0 | 1.00
3500 | 08 | 100000.0 | 1.00
3500 | 09 | 110000.0 | 1.10
3500 | 10 | 110000.0 | 1.10
4000 | 01 | 130000.0 | 1.30
4000 | 02 | 140000.0 | 1.40
4000 | 03 | 130000.0 | 1.30
4000 | 04 | 140000.0 | 1.40
4000 | 05 | 130000.0 | 1.30
4000 | 06 | 140000.0 | 1.40
4000 | 07 | 140000.0 | 1.40
4000 | 08 | 140000.0 | 1.40
4000 | 09 | 130000.0 | 1.30
4000 | 10 | 140000.0 | 1.40
4500 | 01 | 170000.0 | 1.70
4500 | 02 | 180000.0 | 1.80
4500 | 03 | 170000.0 | 1.70
4500 | 04 | 180000.0 | 1.80
4500 | 05 | 160000.0 | 1.60
4500 | 06 | 170000.0 | 1.70
4500 | 07 | 170000.0 | 1.70
4500 | 08 | 170000.0 | 1.70
4500 | 09 | 180000.0 | 1.80
4500 | 10 | 170000.0 | 1.70
5000 | 01 | 220000.0 | 2.20
5000 | 02 | 210000.0 | 2.10
5000 | 03 | 220000.0 | 2.20
5000 | 04 | 210000.0 | 2.10
5000 | 05 | 220000.0 | 2.20
5000 | 06 | 210000.0 | 2.10
5000 | 07 | 210000.0 | 2.10
5000 | 08 | 220000.0 | 2.20
5000 | 09 | 220000.0 | 2.20
5000 | 10 | 210000.0 | 2.10
